

"Close Approach Definition"
"Advanced CAT object: sgp4ESSS                                                        "
"Close Approach Threshold: 20.000000 (km)                                             "
"Close Approach Time Interval: 23 Oct 2013 03:58:20.414 to 23 Oct 2014 03:58:20.414   "
"Point-to-Point Mode is ON.  Finite ellipsoid sizes have been overridden to be points."

"Settings"
"Out of Date Filter is OFF.                                                                                  "
"Apo Peri Filter    is ON.  Pad  is 30.000000 (km)                                                           "
"Path Filter        is OFF.                                                                                  "
"Time Filter        is OFF.                                                                                  "
""
"Each local range minimum is reported as a separate event with corresponding conjunction TCA (i.e., ConjTCA)."
"Additionally, an interval endpoint time will be reported as a separate event with corresponding             "
"conjunction TCA (i.e., ConjTCA) if it is the global range minimum over the interval                      "
""
"Secondaries whose SSC number match the primary SSC number have been ignored.                                "
""
"MaxSampleStepSize is 300.000000 secs                                                                        "
"MinSampleStepSize is 1.000000 secs                                                                          "

"Name","Status","Type","Tangential (km)","Cross-Track (km)","Normal (km)"
"Satellite/ENVISAT_27386","Found Scenario Object","Scenario Object",1.000000,1.000000,1.000000

"Name","Status","Type","Tangential (km)","Cross-Track (km)","Normal (km)"
"spaceTrackTLEs_23_10_2013.tce","Found File","Tle File",1.000000,1.000000,1.000000

"SSC","ConjTCA (UTCG)","Min Range (km)","Max Collision Probability","Collision Probability (Analytic)","Collision Probability (Numeric)","Collision Probability (Patera 2005)"
"38204",23 Oct 2013 15:48:14.020,4.980950,3.7841e-006,1.2918e-007,1.2918e-007,1.2918e-007
"35628",23 Oct 2013 16:04:59.279,19.290194,2.5230e-007,2.5386e-045,0.0000e+000,7.7650e-020
"1833",23 Oct 2013 17:12:14.302,15.552186,3.8815e-007,3.5066e-031,3.3284e-031,1.0785e-019
"35628",23 Oct 2013 17:45:11.744,12.441217,6.0654e-007,9.9976e-022,9.9976e-022,-1.2942e-020
"22481",23 Oct 2013 17:49:51.553,18.975985,2.6072e-007,5.1286e-044,5.1286e-044,1.3804e-019
"8343",23 Oct 2013 17:56:43.637,12.397194,6.9633e-007,1.4982e-021,1.4982e-021,-1.0353e-019
"8343",23 Oct 2013 18:46:53.546,17.439852,3.5186e-007,6.9244e-038,6.9244e-038,-4.7453e-020
"22499",23 Oct 2013 19:19:17.432,2.467250,1.5423e-005,1.3929e-005,1.3929e-005,1.3929e-005
"29810",23 Oct 2013 19:23:50.823,5.871062,2.7237e-006,1.1547e-008,1.1547e-008,1.1547e-008
"35628",23 Oct 2013 19:25:24.207,9.819351,9.7369e-007,2.1703e-015,2.1703e-015,2.1704e-015
"31739",23 Oct 2013 19:28:28.092,10.948917,7.8315e-007,6.1596e-018,6.1596e-018,6.2681e-018
"25028",23 Oct 2013 19:30:52.328,5.617295,2.9753e-006,2.3932e-008,2.3932e-008,2.3932e-008
"8343",23 Oct 2013 19:37:03.237,12.754928,6.5782e-007,1.5801e-022,1.5801e-022,-1.9413e-019
"28323",23 Oct 2013 20:18:25.463,14.644189,4.3778e-007,3.3242e-028,3.3250e-028,8.6278e-020
"5384",23 Oct 2013 20:19:35.013,11.349628,7.2883e-007,6.5985e-019,6.5985e-019,7.8513e-019
"35709",23 Oct 2013 20:23:52.082,14.892976,4.2328e-007,5.2950e-029,5.2950e-029,5.6081e-020
"38127",23 Oct 2013 21:04:37.097,12.385034,6.1206e-007,1.4169e-021,1.4169e-021,3.4511e-020
"35628",23 Oct 2013 21:05:36.670,14.085481,4.7320e-007,1.8382e-026,1.8381e-026,1.0353e-019
"35628",23 Oct 2013 21:55:45.618,14.812567,4.2788e-007,9.6204e-029,9.6137e-029,9.4906e-020
"30451",23 Oct 2013 22:44:59.989,10.369978,8.7304e-007,1.3476e-016,1.3476e-016,1.3495e-016
"25106",23 Oct 2013 22:46:49.231,11.847702,1.0317e-006,5.6693e-020,5.6693e-020,6.9022e-020
"36550",23 Oct 2013 23:30:31.602,14.472197,4.4825e-007,1.1625e-027,1.1624e-027,1.3373e-019
"35851",23 Oct 2013 23:34:23.845,19.459529,2.4793e-007,4.9226e-046,4.9226e-046,1.0138e-019
"35628",23 Oct 2013 23:35:58.065,13.603143,5.0735e-007,5.1807e-025,5.1808e-025,1.7687e-019
"36387",23 Oct 2013 23:44:47.546,17.970248,2.9072e-007,5.5497e-040,5.5497e-040,8.6278e-020
"35744",24 Oct 2013 00:26:37.169,12.751990,5.7734e-007,1.4121e-022,1.4121e-022,9.0592e-020
"34572",24 Oct 2013 01:11:40.425,8.006589,1.4645e-006,6.9963e-012,6.9963e-012,6.9963e-012
"35628",24 Oct 2013 01:16:10.511,17.775684,2.9712e-007,3.1576e-039,0.0000e+000,7.1179e-020
"34818",24 Oct 2013 01:19:58.573,11.384244,7.2440e-007,5.4201e-019,5.4201e-019,6.4277e-019
"38224",24 Oct 2013 02:03:43.797,14.050202,4.7558e-007,2.3560e-026,2.3558e-026,1.3373e-019
"34079",24 Oct 2013 02:56:19.773,14.826416,4.2709e-007,8.6822e-029,8.6822e-029,2.3295e-019
"22827",24 Oct 2013 03:00:24.016,17.392698,2.8819e-007,8.5004e-038,0.0000e+000,6.4709e-020
"31539",24 Oct 2013 04:35:05.527,12.370479,6.1350e-007,1.5504e-021,1.5504e-021,4.3139e-020
"35014",24 Oct 2013 04:40:53.672,18.617228,2.7087e-007,1.4937e-042,1.4937e-042,1.0569e-019
"35014",24 Oct 2013 05:30:58.999,12.810165,5.7211e-007,9.7366e-023,9.7367e-023,1.1648e-019
"35235",24 Oct 2013 05:31:06.646,19.207888,2.5447e-007,5.6055e-045,5.6055e-045,3.6668e-020
"31044",24 Oct 2013 05:32:28.853,12.857454,5.6791e-007,7.1883e-023,7.1883e-023,1.0785e-019
"35151",24 Oct 2013 06:44:09.363,15.612041,3.8518e-007,2.1997e-031,2.2698e-031,1.3804e-019
"2422",24 Oct 2013 07:46:38.829,9.749964,9.4311e-007,2.9100e-015,2.9100e-015,2.9103e-015
"14240",24 Oct 2013 08:42:13.178,17.005223,3.7008e-007,2.9225e-036,2.9225e-036,-1.2079e-019
"20436",24 Oct 2013 09:34:15.730,19.753273,5.0010e-007,5.7651e-047,5.7651e-047,2.2432e-019
"4588",24 Oct 2013 10:35:52.816,12.889114,6.4419e-007,6.6847e-023,6.6847e-023,1.2942e-020
"31932",24 Oct 2013 11:09:43.570,4.558802,4.5174e-006,3.5353e-007,3.5353e-007,3.5353e-007
"19256",24 Oct 2013 11:12:16.139,8.499389,1.4814e-006,1.0439e-012,1.0439e-012,1.0439e-012
"23106",24 Oct 2013 11:18:25.652,16.317931,3.4046e-007,7.5871e-034,0.0000e+000,6.2552e-020
"4588",24 Oct 2013 11:26:02.234,6.826995,2.2962e-006,6.3311e-010,6.3311e-010,6.3311e-010
"34652",24 Oct 2013 12:08:05.514,11.973873,6.5481e-007,1.7326e-020,1.7326e-020,1.5530e-019
"33765",24 Oct 2013 13:04:21.077,13.627749,5.0552e-007,4.3817e-025,4.3817e-025,9.0592e-020
"38666",24 Oct 2013 13:05:45.791,14.196446,4.6583e-007,8.3884e-027,8.3884e-027,9.9220e-020
"37343",24 Oct 2013 13:54:00.451,16.500464,3.4482e-007,1.7576e-034,1.7576e-034,1.1216e-019
"30783",24 Oct 2013 13:54:09.113,12.218297,6.2888e-007,3.9511e-021,3.9511e-021,1.0353e-019
"38666",24 Oct 2013 13:55:49.191,4.032100,5.7746e-006,1.0957e-006,1.0957e-006,1.0957e-006
"38666",24 Oct 2013 14:46:02.355,17.275438,3.1458e-007,2.5296e-037,2.5296e-037,8.1964e-020
"38666",24 Oct 2013 15:36:05.753,14.608273,4.3994e-007,4.3227e-028,4.3227e-028,2.1570e-019
"31744",24 Oct 2013 17:10:46.837,15.726322,3.7961e-007,8.9855e-032,8.9855e-032,9.0592e-020
"38229",24 Oct 2013 17:34:24.289,2.348016,1.7029e-005,1.6078e-005,1.6078e-005,1.6078e-005
"36939",24 Oct 2013 17:49:19.063,18.807555,2.6541e-007,2.5173e-043,2.5172e-043,4.9610e-020
"34546",24 Oct 2013 18:02:09.539,5.855785,2.7379e-006,1.2076e-008,1.2076e-008,1.2076e-008
"31985",24 Oct 2013 19:35:09.152,18.377058,2.7799e-007,1.3769e-041,0.0000e+000,1.3157e-019
"27372",24 Oct 2013 20:28:28.035,12.490139,9.2832e-007,1.1376e-021,1.1376e-021,4.3139e-020
"39091",24 Oct 2013 21:14:24.985,2.269826,1.8222e-005,1.7597e-005,1.7597e-005,1.7597e-005
"17843",24 Oct 2013 21:42:18.368,4.076251,5.6502e-006,1.0019e-006,1.0019e-006,1.0019e-006
"36060",24 Oct 2013 23:02:57.618,18.372429,2.7813e-007,1.4367e-041,0.0000e+000,6.0395e-020
"17843",24 Oct 2013 23:22:25.143,13.461958,5.1805e-007,1.3467e-024,1.3467e-024,1.2510e-019
"23344",24 Oct 2013 23:50:05.307,17.650732,3.0134e-007,9.5490e-039,0.0000e+000,6.6866e-020
"34118",24 Oct 2013 23:55:16.055,5.301069,3.3409e-006,5.6734e-008,5.6734e-008,5.6734e-008
"4171",25 Oct 2013 00:04:05.495,9.139864,1.1238e-006,5.4346e-014,5.4347e-014,5.4347e-014
"32435",25 Oct 2013 00:40:31.648,19.771486,2.4016e-007,2.3093e-047,2.3092e-047,9.0592e-020
"25528",25 Oct 2013 00:56:57.288,18.846615,4.0772e-007,2.6925e-043,2.6925e-043,1.2079e-019
"33766",25 Oct 2013 01:12:15.664,8.346700,1.3476e-006,1.7418e-012,1.7418e-012,1.7418e-012
"31341",25 Oct 2013 01:13:03.134,15.771425,3.7744e-007,6.2994e-032,6.2994e-032,8.1964e-020
"25528",25 Oct 2013 01:47:07.813,18.091377,4.4248e-007,2.8766e-040,2.8766e-040,7.7650e-020
"29803",25 Oct 2013 02:20:34.305,18.079862,2.8721e-007,2.0665e-040,0.0000e+000,9.0592e-020
"5397",25 Oct 2013 02:20:52.642,14.396403,4.5298e-007,2.0088e-027,2.0085e-027,8.6278e-020
"38025",25 Oct 2013 02:35:29.356,3.221838,9.0444e-006,4.7624e-006,4.7624e-006,4.7624e-006
"25528",25 Oct 2013 02:37:18.020,14.942727,6.4859e-007,5.6411e-029,5.6411e-029,6.0395e-020
"33603",25 Oct 2013 03:02:24.324,14.563502,4.4265e-007,5.9918e-028,5.9918e-028,6.9022e-020
"24869",25 Oct 2013 03:11:12.185,13.519982,7.9228e-007,1.4056e-024,1.4056e-024,1.7687e-019
"32081",25 Oct 2013 03:13:17.882,10.875806,7.9372e-007,9.1788e-018,9.1788e-018,9.2533e-018
"25528",25 Oct 2013 03:27:28.546,13.908841,7.4860e-007,9.7696e-026,9.7697e-026,1.3373e-019
"24869",25 Oct 2013 04:01:22.424,12.786018,8.8585e-007,1.7541e-022,1.7541e-022,-3.4511e-020
"25528",25 Oct 2013 04:17:38.753,12.473245,9.3084e-007,1.2641e-021,1.2641e-021,2.5883e-020
"31823",25 Oct 2013 04:26:57.390,11.536081,7.0546e-007,2.2707e-019,2.2707e-019,4.6590e-019
"24794",25 Oct 2013 04:47:33.933,16.750215,5.1617e-007,3.4047e-035,0.0000e+000,8.6278e-020
"38504",25 Oct 2013 04:50:29.741,6.629387,2.1362e-006,1.0796e-009,1.0796e-009,1.0796e-009
"30950",25 Oct 2013 05:05:30.128,11.355683,7.2805e-007,6.3756e-019,6.3756e-019,7.2042e-019
"25528",25 Oct 2013 05:07:49.278,11.176524,1.1594e-006,2.6994e-018,2.6994e-018,2.9162e-018
"29051",25 Oct 2013 05:17:26.075,11.325113,7.3199e-007,7.5822e-019,7.5822e-019,8.8435e-019
"24794",25 Oct 2013 05:37:44.518,12.409525,9.4042e-007,1.8790e-021,1.8790e-021,1.6824e-019
"25528",25 Oct 2013 05:57:59.485,12.445099,9.3505e-007,1.5064e-021,1.5064e-021,8.6278e-021
"24794",25 Oct 2013 06:27:54.661,16.370547,5.4039e-007,7.8943e-034,7.8943e-034,1.5099e-019
"25528",25 Oct 2013 06:48:10.011,11.156172,1.1636e-006,3.0243e-018,3.0243e-018,3.2009e-018
"14410",25 Oct 2013 07:04:39.361,9.215311,1.1055e-006,3.8443e-014,3.8443e-014,3.8443e-014
"25528",25 Oct 2013 07:38:20.217,14.964611,6.4670e-007,4.7897e-029,4.7940e-029,1.5961e-019
